Name,WHO Region,Cases - cumulative total,Cases - cumulative total per 100000 population,Cases - newly reported in last 7 days,Cases - newly reported in last 7 days per 100000 population,Cases - newly reported in last 24 hours,Deaths - cumulative total,Deaths - cumulative total per 100000 population,Deaths - newly reported in last 7 days,Deaths - newly reported in last 7 days per 100000 population,Deaths - newly reported in last 24 hours
Global,,246594191,3163.6784164606825,2993390,38.403675677215084,296434,4998784,64.13186371186252,49802,0.6389344041627287,4671,
United States of America,Americas,45635708,13787.113,501025,151.366,0,739856,223.52,8785,2.654,0
India,South-East Asia,34285814,2484.471,96040,6.959,12514,458437,33.22,3725,0.27,251
Brazil,Americas,21804094,10257.882,80535,37.888,10693,607694,285.894,2237,1.052,232
The United Kingdom,Europe,9057633,13342.416,283955,418.282,37667,140632,207.159,1099,1.619,74
Russian Federation,Europe,8554192,5861.667,274619,188.18,40402,239693,164.247,8024,5.498,1155
Turkey,Europe,8032988,9524.635,181183,214.827,23948,70611,83.723,1499,1.777,201
France,Europe,6943779,10676.272,39708,61.052,6361,115277,177.242,192,0.295,12
Iran (Islamic Republic of),Eastern Mediterranean,5924638,7053.733,63794,75.952,8427,126303,150.373,1080,1.286,177
Argentina,Americas,5288807,11701.995,8989,19.889,548,115950,256.551,127,0.281,8
Spain,Europe,5011149,10587.095,6237,13.177,0,87368,184.583,34,0.072,0
Colombia,Americas,5000677,9827.816,10996,21.61,1629,127258,250.1,226,0.444,33
Italy,Europe,4771965,8001.083,30780,51.608,4525,132100,221.49,274,0.459,26
Germany,Europe,4607208,5539.726,134478,161.697,9658,95752,115.133,635,0.764,23
Indonesia,South-East Asia,4244761,1551.881,4282,1.565,403,143423,52.435,188,0.069,18
Mexico,Americas,3805765,2951.744,21600,16.753,3478,288276,223.586,1816,1.408,325
Poland,Europe,3030151,7982.876,54271,142.976,4904,77012,202.887,565,1.488,13
Ukraine,Europe,2936238,6713.893,152199,348.013,13936,68027,155.548,3825,8.746,298
South Africa,Africa,2922116,4926.961,2484,4.188,230,89177,150.361,252,0.425,14
Philippines,Western Pacific,2787276,2543.574,30374,27.718,3410,43172,39.397,1379,1.258,128
Malaysia,Western Pacific,2471642,7636.539,39926,123.358,4979,28912,89.328,512,1.582,36
Peru,Americas,2200908,6675.111,5807,17.612,1032,200217,607.236,198,0.601,20
Netherlands,Europe,2132052,12247.833,49614,285.014,8219,18411,105.764,97,0.557,14
Iraq,Eastern Mediterranean,2055248,5109.698,8974,22.311,1046,23170,57.605,209,0.52,32
Thailand,South-East Asia,1920189,2750.988,61032,87.438,8165,19260,27.593,461,0.66,55
Czechia,Europe,1765654,16510.792,34329,321.014,2752,30775,287.78,129,1.206,22
Japan,Western Pacific,1722864,1362.201,5926,4.685,254,18268,14.444,69,0.055,7
Canada,Americas,1712128,4536.381,13663,36.201,0,28952,76.71,207,0.548,0
Chile,Americas,1695048,8867.076,13220,69.156,2171,37757,197.513,88,0.46,14
Romania,Europe,1655024,8562.46,83909,434.113,6993,48073,248.711,3093,16.002,322
Bangladesh,South-East Asia,1569539,953.03,1558,0.946,0,27868,16.922,40,0.024,0
Belgium,Europe,1360650,11808.697,30679,266.254,0,25994,225.595,94,0.816,0
Israel,Europe,1327645,15338.671,4282,49.471,472,8100,93.582,37,0.427,0
Pakistan,Eastern Mediterranean,1273078,576.334,4542,2.056,733,28449,12.879,72,0.033,10
Sweden,Europe,1171512,11343.519,4104,39.738,0,15025,145.484,5,0.048,0
Serbia,Europe,1142749,16497.729,44540,643.019,4929,9955,143.719,446,6.439,65
Portugal,Europe,1090651,10593.052,5513,53.546,763,18157,176.352,24,0.233,1
Kazakhstan,Europe,1020264,5433.668,11709,62.359,1423,17150,91.337,193,1.028,19
Cuba,Americas,952001,8404.991,6251,55.189,676,8236,72.714,54,0.477,6
Morocco,Eastern Mediterranean,946145,2563.345,1868,5.061,185,14668,39.739,56,0.152,1
Viet Nam,Western Pacific,921122,946.307,32182,33.062,5519,22083,22.687,410,0.421,53
Hungary,Europe,874630,8952.635,24117,246.859,11211,30881,316.095,314,3.214,152
Switzerland,Europe,868896,10039.681,6442,74.434,0,10802,124.812,19,0.22,0
Jordan,Eastern Mediterranean,862541,8453.687,11131,109.094,1723,11038,108.182,87,0.853,10
